Numero,Prenom,Nom,Match,Action,Niveau,Nb_actions
1,Cléa,Vauloup,PAU I,DUEL,0,2.0
2,Arwen,Lavuia,PAU I,DUEL,0,2.0
3,Manon,Marchesin,PAU I,DUEL,0,1.0
6,Elsa,Moutinho,PAU I,DUEL,0,1.0
7,Agathe,Lacaze,PAU I,DUEL,0,1.0
8,Adèle,Lachurie,PAU I,DUEL,0,1.0
9,Alexia,Cazalbou,PAU I,DUEL,0,1.0
10,Alice,Bouvet,PAU I,DUEL,0,1.0
11,Charlotte,Quilici,PAU I,DUEL,0,1.0
12,Pauline,Joigneaux,PAU I,DUEL,0,2.0
13,Mado,Bidard,PAU I,DUEL,0,1.0
16,Lizea,Subra,PAU I,DUEL,0,1.0
17,Justine,Pradel,PAU I,DUEL,0,1.0
20,Lou,Cambus,PAU I,DUEL,0,1.0
22,Eva,Sundheimer,PAU I,DUEL,0,1.0
23,Lisa,Montoux,PAU I,DUEL,0,1.0
1,Cléa,Vauloup,PAU I,DUEL,1,2.0
2,Arwen,Lavuia,PAU I,DUEL,1,1.0
4,Eva,Ould-Hadda,PAU I,DUEL,1,1.0
5,Sofaia,Fono,PAU I,DUEL,1,1.0
7,Agathe,Lacaze,PAU I,DUEL,1,1.0
10,Alice,Bouvet,PAU I,DUEL,1,1.0
12,Pauline,Joigneaux,PAU I,DUEL,1,3.0
13,Mado,Bidard,PAU I,DUEL,1,1.0
14,Chiara,Muratet,PAU I,DUEL,1,2.0
15,Zoe,Pages,PAU I,DUEL,1,2.0
17,Justine,Pradel,PAU I,DUEL,1,1.0
1,Cléa,Vauloup,PAU I,DUEL,2,1.0
2,Arwen,Lavuia,PAU I,DUEL,2,7.0
3,Manon,Marchesin,PAU I,DUEL,2,3.0
4,Eva,Ould-Hadda,PAU I,DUEL,2,2.0
5,Sofaia,Fono,PAU I,DUEL,2,2.0
6,Elsa,Moutinho,PAU I,DUEL,2,2.0
7,Agathe,Lacaze,PAU I,DUEL,2,1.0
8,Adèle,Lachurie,PAU I,DUEL,2,7.0
10,Alice,Bouvet,PAU I,DUEL,2,4.0
11,Charlotte,Quilici,PAU I,DUEL,2,1.0
12,Pauline,Joigneaux,PAU I,DUEL,2,2.0
13,Mado,Bidard,PAU I,DUEL,2,5.0
14,Chiara,Muratet,PAU I,DUEL,2,2.0
15,Zoe,Pages,PAU I,DUEL,2,7.0
16,Lizea,Subra,PAU I,DUEL,2,2.0
17,Justine,Pradel,PAU I,DUEL,2,3.0
18,Mathilde,Lacombre,PAU I,DUEL,2,1.0
19,Thiziri-Jades,Touabi,PAU I,DUEL,2,2.0
21,Maelle,Bonne,PAU I,DUEL,2,3.0
22,Eva,Sundheimer,PAU I,DUEL,2,3.0
23,Lisa,Montoux,PAU I,DUEL,2,2.0
1,Cléa,Vauloup,PAU I,DUEL,3,1.0
3,Manon,Marchesin,PAU I,DUEL,3,2.0
8,Adèle,Lachurie,PAU I,DUEL,3,1.0
10,Alice,Bouvet,PAU I,DUEL,3,2.0
11,Charlotte,Quilici,PAU I,DUEL,3,3.0
12,Pauline,Joigneaux,PAU I,DUEL,3,6.0
13,Mado,Bidard,PAU I,DUEL,3,3.0
14,Chiara,Muratet,PAU I,DUEL,3,4.0
15,Zoe,Pages,PAU I,DUEL,3,2.0
17,Justine,Pradel,PAU I,DUEL,3,1.0
21,Maelle,Bonne,PAU I,DUEL,3,2.0
22,Eva,Sundheimer,PAU I,DUEL,3,7.0
5,Sofaia,Fono,PAU I,PASSE,0,1.0
9,Alexia,Cazalbou,PAU I,PASSE,0,1.0
20,Lou,Cambus,PAU I,PASSE,0,1.0
